,id_ta,food,service,value,atmosphere,is_verified,has_phone_number,has_hours,has_website,has_menu,distance,has_tcAward
0,d10746918,35.0,35.0,30.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
1,d6674944,45.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.8,1.0
2,d13129638,35.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
3,d680417,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,1.0
4,d1112354,45.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.6,0.0
5,d8458643,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
6,d8758873,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
7,d8286886,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
8,d12947542,35.0,45.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
9,d12716384,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
10,d7818546,45.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,,1.0
11,d7209625,35.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.4,0.0
12,d958943,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,2.7,0.0
13,d1344523,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
14,d1093021,45.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
15,d7605609,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,,0.0
16,d11850449,35.0,35.0,30.0,,0.0,1.0,1.0,1.0,0.0,,0.0
17,d2188276,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,1.4,0.0
18,d8435085,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
19,d2177920,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
20,d8334752,,,,,0.0,1.0,1.0,1.0,0.0,1.2,0.0
21,d11749014,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
22,d1216215,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
23,d7653791,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,,0.0
24,d6539478,,,,,,,,,,,
25,d13202032,,,,,,,,,,,
26,d2061134,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
27,d10133841,50.0,50.0,50.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
28,d5795143,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,,0.0
29,d1495732,35.0,35.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0
30,d8537746,30.0,35.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
31,d11953078,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
32,d1018463,35.0,35.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
33,d3532770,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
34,d9597870,,,,,,,,,,,
35,d3256188,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
36,d2095858,45.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0
37,d13234520,40.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
38,d1326624,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
39,d12170920,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
40,d3339988,45.0,50.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
41,d695231,30.0,30.0,30.0,30.0,0.0,1.0,1.0,1.0,0.0,,0.0
42,d8180306,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,,0.0
43,d11959505,,,,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
44,d720945,40.0,40.0,35.0,45.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
45,d1439340,25.0,30.0,20.0,30.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
46,d4988279,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
47,d1336377,30.0,35.0,30.0,30.0,0.0,1.0,1.0,1.0,0.0,,0.0
48,d8747125,,,,,0.0,1.0,1.0,1.0,0.0,1.5,0.0
49,d737345,35.0,35.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
50,d10788740,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
51,d9561771,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,2.7,0.0
52,d8262476,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
53,d7124128,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
54,d12006420,45.0,45.0,50.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
55,d11633790,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
56,d4919094,25.0,25.0,25.0,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
57,d11867015,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.4,1.0
58,d3672020,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
59,d8448700,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,1.7,0.0
60,d1804870,40.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
61,d11855366,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
62,d7249260,40.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
63,d5776216,35.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
64,d10147127,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
65,d11769083,,,,,0.0,1.0,1.0,1.0,0.0,1.3,0.0
66,d11667248,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
67,d11857524,45.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
68,d10822625,50.0,50.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
69,d5952715,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
70,d8338351,30.0,25.0,20.0,,0.0,1.0,1.0,1.0,0.0,,0.0
71,d12064491,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,,0.0
72,d8352929,40.0,35.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
73,d3625426,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,1.0
74,d12032989,,,,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
75,d3507877,40.0,40.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,1.2,0.0
76,d719850,35.0,35.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.4,0.0
77,d953797,35.0,40.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0
78,d10547215,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
79,d8535535,,,,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
80,d8506168,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
81,d10088997,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
82,d6609067,40.0,40.0,45.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
83,d10805315,,,,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
84,d3331669,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0
85,d9857169,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,1.6,0.0
86,d3641641,,,,,,,,,,,
87,d12921076,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
88,d6708258,35.0,30.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
89,d8838741,,,,,,,,,,,
90,d2239303,35.0,35.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
91,d6962328,40.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
92,d1337474,40.0,45.0,45.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
93,d4769732,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
94,d5423578,30.0,30.0,30.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0
95,d720392,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,1.5,0.0
96,d4309064,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,,1.0
97,d8837875,45.0,35.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
98,d2086866,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0
99,d6404526,35.0,35.0,35.0,30.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0
100,d7813343,30.0,30.0,30.0,,0.0,1.0,1.0,1.0,0.0,,0.0
101,d3673130,45.0,40.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
102,d785566,45.0,40.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
103,d5966033,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.2,1.0
104,d3749693,45.0,35.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.9,0.0
105,d6536893,45.0,40.0,45.0,35.0,0.0,1.0,1.0,1.0,0.0,1.3,0.0
106,d3609570,,,,,,,,,,,
107,d9791292,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,,0.0
108,d2554554,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,1.8,0.0
109,d8355550,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
110,d6013019,,,,,,,,,,,
111,d9762124,,,,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
112,d4367693,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
113,d8376187,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
114,d12644341,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
115,d12204689,,,,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
116,d2482191,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
117,d8730133,45.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.4,1.0
118,d10316215,,,,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
119,d4408571,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0
120,d9559203,35.0,30.0,30.0,,0.0,1.0,1.0,1.0,0.0,,0.0
121,d11823628,50.0,45.0,50.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
122,d2006373,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
123,d11636306,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
124,d10455057,,,,,0.0,1.0,1.0,1.0,0.0,1.3,0.0
125,d1933914,40.0,40.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,,0.0
126,d5793336,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
127,d12624748,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
128,d4961508,,,,,,,,,,,
129,d3459400,40.0,45.0,45.0,50.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0
130,d9788680,,,,,,,,,,,
131,d7215694,30.0,30.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
132,d719092,45.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
133,d1205615,40.0,40.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
134,d7818336,35.0,30.0,25.0,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
